"","confirmed","deaths","recovered","latitude","longitude","date"
"1",0,0,0,33,65,2020-01-22
"2",0,0,0,33,65,2020-01-23
"3",0,0,0,33,65,2020-01-24
"4",0,0,0,33,65,2020-01-25
"5",0,0,0,33,65,2020-01-26
"6",0,0,0,33,65,2020-01-27
"7",0,0,0,33,65,2020-01-28
"8",0,0,0,33,65,2020-01-29
"9",0,0,0,33,65,2020-01-30
"10",0,0,0,33,65,2020-01-31
"11",0,0,0,33,65,2020-02-01
"12",0,0,0,33,65,2020-02-02
"13",0,0,0,33,65,2020-02-03
"14",0,0,0,33,65,2020-02-04
"15",0,0,0,33,65,2020-02-05
"16",0,0,0,33,65,2020-02-06
"17",0,0,0,33,65,2020-02-07
"18",0,0,0,33,65,2020-02-08
"19",0,0,0,33,65,2020-02-09
"20",0,0,0,33,65,2020-02-10
"21",0,0,0,33,65,2020-02-11
"22",0,0,0,33,65,2020-02-12
"23",0,0,0,33,65,2020-02-13
"24",0,0,0,33,65,2020-02-14
"25",0,0,0,33,65,2020-02-15
"26",0,0,0,33,65,2020-02-16
"27",0,0,0,33,65,2020-02-17
"28",0,0,0,33,65,2020-02-18
"29",0,0,0,33,65,2020-02-19
"30",0,0,0,33,65,2020-02-20
"31",0,0,0,33,65,2020-02-21
"32",0,0,0,33,65,2020-02-22
"33",0,0,0,33,65,2020-02-23
"34",1.3450844936346e-07,0,0,33,65,2020-02-24
"35",1.3450844936346e-07,0,0,33,65,2020-02-25
"36",1.3450844936346e-07,0,0,33,65,2020-02-26
"37",1.3450844936346e-07,0,0,33,65,2020-02-27
"38",1.3450844936346e-07,0,0,33,65,2020-02-28
"39",1.3450844936346e-07,0,0,33,65,2020-02-29
"40",1.3450844936346e-07,0,0,33,65,2020-03-01
"41",1.3450844936346e-07,0,0,33,65,2020-03-02
"42",1.3450844936346e-07,0,0,33,65,2020-03-03
"43",1.3450844936346e-07,0,0,33,65,2020-03-04
"44",1.3450844936346e-07,0,0,33,65,2020-03-05
"45",1.3450844936346e-07,0,0,33,65,2020-03-06
"46",2.15213518981536e-07,0,0,33,65,2020-03-07
"47",2.15213518981536e-07,0,0,33,65,2020-03-08
"48",2.15213518981536e-07,0,0,33,65,2020-03-09
"49",2.15213518981536e-07,0,0,33,65,2020-03-10
"50",2.95918588599613e-07,0,0,33,65,2020-03-11
"51",2.95918588599613e-07,0,0,33,65,2020-03-12
"52",2.95918588599613e-07,0,0,33,65,2020-03-13
"53",3.76623658217689e-07,0,0,33,65,2020-03-14
"54",5.38033797453841e-07,0,0,33,65,2020-03-15
"55",6.72542246817301e-07,0,2.69016898726921e-08,33,65,2020-03-16
"56",6.99443936689994e-07,0,2.69016898726921e-08,33,65,2020-03-17
"57",6.99443936689994e-07,0,2.69016898726921e-08,33,65,2020-03-18
"58",6.99443936689994e-07,0,2.69016898726921e-08,33,65,2020-03-19
"59",6.45640556944609e-07,0,2.69016898726921e-08,33,65,2020-03-20
"60",6.45640556944609e-07,0,2.69016898726921e-08,33,65,2020-03-21
"61",9.1465745567153e-07,0,2.69016898726921e-08,33,65,2020-03-22
"62",1.07606759490768e-06,2.69016898726921e-08,2.69016898726921e-08,33,65,2020-03-23
"63",1.12987097465307e-06,2.69016898726921e-08,2.69016898726921e-08,33,65,2020-03-24
"64",1.99072505057921e-06,2.69016898726921e-08,5.38033797453841e-08,33,65,2020-03-25
"65",2.15213518981536e-06,5.38033797453841e-08,5.38033797453841e-08,33,65,2020-03-26
"66",2.44805377841498e-06,5.38033797453841e-08,5.38033797453841e-08,33,65,2020-03-27
"67",2.85157912650536e-06,5.38033797453841e-08,5.38033797453841e-08,33,65,2020-03-28
"68",3.06679264548689e-06,1.07606759490768e-07,5.38033797453841e-08,33,65,2020-03-29
"69",3.06679264548689e-06,1.07606759490768e-07,5.38033797453841e-08,33,65,2020-03-30
"70",4.46568051886688e-06,1.07606759490768e-07,1.3450844936346e-07,33,65,2020-03-31
"71",5.16512445555688e-06,1.07606759490768e-07,1.3450844936346e-07,33,65,2020-04-01
"72",6.32189712008263e-06,1.07606759490768e-07,2.69016898726921e-07,33,65,2020-04-02
"73",7.23655457575416e-06,1.3450844936346e-07,2.69016898726921e-07,33,65,2020-04-03
"74",7.26345626562686e-06,1.3450844936346e-07,2.69016898726921e-07,33,65,2020-04-04
"75",8.04360527193493e-06,1.88311829108844e-07,4.03525348090381e-07,33,65,2020-04-05
"76",9.06586948709722e-06,1.88311829108844e-07,4.84230417708457e-07,33,65,2020-04-06
"77",9.87292018327799e-06,2.95918588599613e-07,4.84230417708457e-07,33,65,2020-04-07
"78",1.13794148161487e-05,3.76623658217689e-07,7.8014900630807e-07,33,65,2020-04-08
"79",1.19443503034753e-05,4.03525348090381e-07,8.60854075926146e-07,33,65,2020-04-09
"80",1.40157804236726e-05,4.03525348090381e-07,8.60854075926146e-07,33,65,2020-04-10
"81",1.40157804236726e-05,4.03525348090381e-07,8.60854075926146e-07,33,65,2020-04-11
"82",1.49304378793441e-05,4.84230417708457e-07,8.60854075926146e-07,33,65,2020-04-12
"83",1.63293257527241e-05,5.11132107581149e-07,8.60854075926146e-07,33,65,2020-04-13
"84",1.78896237653402e-05,5.91837177199225e-07,1.07606759490768e-06,33,65,2020-04-14
"85",2.07143012019729e-05,6.72542246817301e-07,1.15677266452576e-06,33,65,2020-04-15
"86",2.13599417589175e-05,7.8014900630807e-07,1.45269125312537e-06,33,65,2020-04-16
"87",2.27319279424248e-05,8.07050696180762e-07,2.66326729739651e-06,33,65,2020-04-17
"88",2.44267344044044e-05,8.07050696180762e-07,3.01298926574151e-06,33,65,2020-04-18
"89",2.50992766512217e-05,8.07050696180762e-07,3.52412137332266e-06,33,65,2020-04-19
"90",2.67940831132013e-05,8.87755765798838e-07,3.63172813281343e-06,33,65,2020-04-20
"91",2.76011338093821e-05,9.68460835416914e-07,4.03525348090381e-06,33,65,2020-04-21
"92",2.93766453409797e-05,9.68460835416914e-07,4.46568051886688e-06,33,65,2020-04-22
"93",3.16363872902859e-05,1.07606759490768e-06,4.81540248721188e-06,33,65,2020-04-23
"94",3.29814717839205e-05,1.07606759490768e-06,5.05751769606611e-06,33,65,2020-04-24
"95",3.57792475306804e-05,1.15677266452576e-06,5.05751769606611e-06,33,65,2020-04-25
"96",3.93571722837485e-05,1.31818280376191e-06,5.56864980364726e-06,33,65,2020-04-26
"97",4.11864871950915e-05,1.3450844936346e-06,5.91837177199225e-06,33,65,2020-04-27
"98",4.58135778531946e-05,1.61410139236152e-06,6.13358529097379e-06,33,65,2020-04-28
"99",4.91493873974084e-05,1.61410139236152e-06,6.7792258479184e-06,33,65,2020-04-29
"100",4.91493873974084e-05,1.61410139236152e-06,6.99443936689993e-06,33,65,2020-04-30
"101",5.84035687136145e-05,1.72170815185229e-06,8.33952386053454e-06,33,65,2020-05-01
"102",6.64202722956767e-05,1.93692167083383e-06,8.90445934786107e-06,33,65,2020-05-02
"103",6.64202722956767e-05,1.93692167083383e-06,9.28108300607876e-06,33,65,2020-05-03
"104",6.64202722956767e-05,1.93692167083383e-06,1.06799708794587e-05,33,65,2020-05-04
"105",6.64202722956767e-05,1.93692167083383e-06,1.13256114364034e-05,33,65,2020-05-05
"106",8.67310481495592e-05,2.55566053790575e-06,1.2320973961693e-05,33,65,2020-05-06
"107",9.12505320481715e-05,2.79777574675997e-06,1.25899908604199e-05,33,65,2020-05-07
"108",9.58507210164018e-05,2.82467743663267e-06,1.26975976199107e-05,33,65,2020-05-08
