"","confirmed","deaths","recovered","latitude","longitude","date"
"1",0,0,0,-38.4161,-63.6167,2020-01-22
"2",0,0,0,-38.4161,-63.6167,2020-01-23
"3",0,0,0,-38.4161,-63.6167,2020-01-24
"4",0,0,0,-38.4161,-63.6167,2020-01-25
"5",0,0,0,-38.4161,-63.6167,2020-01-26
"6",0,0,0,-38.4161,-63.6167,2020-01-27
"7",0,0,0,-38.4161,-63.6167,2020-01-28
"8",0,0,0,-38.4161,-63.6167,2020-01-29
"9",0,0,0,-38.4161,-63.6167,2020-01-30
"10",0,0,0,-38.4161,-63.6167,2020-01-31
"11",0,0,0,-38.4161,-63.6167,2020-02-01
"12",0,0,0,-38.4161,-63.6167,2020-02-02
"13",0,0,0,-38.4161,-63.6167,2020-02-03
"14",0,0,0,-38.4161,-63.6167,2020-02-04
"15",0,0,0,-38.4161,-63.6167,2020-02-05
"16",0,0,0,-38.4161,-63.6167,2020-02-06
"17",0,0,0,-38.4161,-63.6167,2020-02-07
"18",0,0,0,-38.4161,-63.6167,2020-02-08
"19",0,0,0,-38.4161,-63.6167,2020-02-09
"20",0,0,0,-38.4161,-63.6167,2020-02-10
"21",0,0,0,-38.4161,-63.6167,2020-02-11
"22",0,0,0,-38.4161,-63.6167,2020-02-12
"23",0,0,0,-38.4161,-63.6167,2020-02-13
"24",0,0,0,-38.4161,-63.6167,2020-02-14
"25",0,0,0,-38.4161,-63.6167,2020-02-15
"26",0,0,0,-38.4161,-63.6167,2020-02-16
"27",0,0,0,-38.4161,-63.6167,2020-02-17
"28",0,0,0,-38.4161,-63.6167,2020-02-18
"29",0,0,0,-38.4161,-63.6167,2020-02-19
"30",0,0,0,-38.4161,-63.6167,2020-02-20
"31",0,0,0,-38.4161,-63.6167,2020-02-21
"32",0,0,0,-38.4161,-63.6167,2020-02-22
"33",0,0,0,-38.4161,-63.6167,2020-02-23
"34",0,0,0,-38.4161,-63.6167,2020-02-24
"35",0,0,0,-38.4161,-63.6167,2020-02-25
"36",0,0,0,-38.4161,-63.6167,2020-02-26
"37",0,0,0,-38.4161,-63.6167,2020-02-27
"38",0,0,0,-38.4161,-63.6167,2020-02-28
